region,unemployment_rate,numb_unemployed,part_of_unemployment
Podkarpackie,6.2,70629.0,8.5
Lubelskie,5.6,62211.0,7.5
Swietokrzyskie,5.4,34747.0,4.2
Warminsko-mazurskie,5.3,40039.0,4.8
Kujawsko-pomorskie,5.2,56987.0,6.8
Podlaskie,5.0,31691.0,3.8
Zachodniopomorskie,4.5,40588.0,4.9
Lodzkie,4.4,57733.0,6.9
Mazowieckie,4.0,121733.0,14.6
Opolskie,4.0,20696.0,2.5
Malopolskie,3.5,65686.0,7.9
Dolnoslaskie,3.5,55284.0,6.6
Pomorskie,3.3,43047.0,5.2
Lubuskie,3.0,16147.0,1.9
Slaskie,2.9,69929.0,8.4
Wielkopolskie,2.4,46390.0,5.6